UF,Mesorregião Geográfica,CD_Mun,Cidade,Zona,SELL OUT ANUAL,SELL OUT MÊS,POTENCIAL ANUAL,POTENCIAL MÊS,POPULAÇÃO ,PDV,%SHARE,Share_Calculado
PE,Sertão Pernambucano,2614105,Sertânia,Zona Arco Verde,9996,833.0,88218.0,7351.5,34271,34.271,0.1133102088009249,11.331020880092497
PE,Mata Pernambucana,2614204,Sirinhaém,Região Metroplitana Oeste,4614,384.5,38007.0,3167.25,39171,39.171,0.1213986897150525,12.13986897150525
PE,Sertão Pernambucano,2614402,Solidão,Zona Serra Talhada,3090,257.5,5874.0,489.5,5386,5.386,0.526046986721144,52.6046986721144
PE,Agreste Pernambucano,2614501,Surubim,Caruaru Norte,44088,3674.0,134127.0,11177.25,67821,67.821,0.3287033930528529,32.87033930528529
PE,Sertão Pernambucano,2614600,Tabira,Zona Serra Talhada,33186,2765.5,64528.5,5377.375,29180,29.18,0.5142843859689904,51.42843859689904
PE,Agreste Pernambucano,2614709,Tacaimbó,Zona Arcoverde,396,33.0,16894.5,1407.875,14330,14.33,0.0234395809287046,2.343958092870461
PE,São Francisco Pernambucano,2614808,Tacaratu,Zona Serra Talhada,1833,152.75,15238.5,1269.875,24898,24.898,0.1202874298651442,12.028742986514422
PE,Mata Pernambucana,2614857,Tamandaré,Região Metroplitana Oeste,2022,168.5,24292.5,2024.375,24670,24.67,0.0832355665328805,8.323556653288051
PE,Agreste Pernambucano,2615003,Taquaritinga do Norte,Caruaru Norte,11973,997.75,46843.5,3903.625,25511,25.511,0.2555957603509558,25.55957603509558
PE,Agreste Pernambucano,2615102,Terezinha,Zona Garanhus,0,0.0,8947.5,745.625,6853,6.853,0.0,0.0
PE,São Francisco Pernambucano,2615201,Terra Nova,Zona Araripina,1254,104.5,13827.0,1152.25,9231,9.231,0.0906921241050119,9.069212410501192
PE,Mata Pernambucana,2615300,Timbaúba,Região Metroplitana Norte,16074,1339.5,137761.5,11480.125,47312,47.312,0.1166799141995405,11.66799141995405
PE,Agreste Pernambucano,2615409,Toritama,Caruaru Norte,6612,551.0,80506.5,6708.875,43921,43.921,0.0821300143466676,8.213001434666765
PE,Mata Pernambucana,2615508,Tracunhaém,Região Metroplitana Norte,9288,774.0,13176.0,1098.0,14439,14.439,0.7049180327868853,70.49180327868852
PE,Sertão Pernambucano,2615607,Trindade,Zona Araripina,7680,640.0,49699.5,4141.625,32257,32.257,0.1545287175927323,15.452871759273231
PE,Sertão Pernambucano,2615706,Triunfo,Zona Serra Talhada,1212,101.0,37117.5,3093.125,15141,15.141,0.0326530612244898,3.2653061224489797
PE,Agreste Pernambucano,2615805,Tupanatinga,Zona Arco Verde,7056,588.0,23910.0,1992.5,28141,28.141,0.2951066499372647,29.510664993726476
PE,Sertão Pernambucano,2615904,Tuparetama,Zona Serra Talhada,2766,230.5,19404.0,1617.0,8261,8.261,0.1425479282622139,14.254792826221397
PE,Agreste Pernambucano,2616001,Venturosa,Zona Arco Verde,900,75.0,17997.0,1499.75,17563,17.563,0.0500083347224537,5.0008334722453744
PE,Sertão Pernambucano,2616100,Verdejante,Zona Araripina,255,21.25,11260.5,938.375,9483,9.483,0.0226455308378846,2.264553083788464
PE,Agreste Pernambucano,2616183,Vertente do Lério,Caruaru Norte,2958,246.5,15397.5,1283.125,7776,7.776,0.1921091086215294,19.210910862152947
PE,Agreste Pernambucano,2616209,Vertentes,Caruaru Norte,1080,90.0,29202.0,2433.5,23127,23.127,0.0369837682350523,3.6983768235052397
PE,Mata Pernambucana,2616308,Vicência,Região Metroplitana Norte,4773,397.75,38871.0,3239.25,27151,27.151,0.1227907694682411,12.27907694682411
PE,Mata Pernambucana,2616407,Vitória de Santo Antão,Região Metroplitana Oeste,76752,6396.0,282543.0,23545.25,144243,144.243,0.2716471475138297,27.164714751382974
PE,Mata Pernambucana,2616506,Xexéu,Região Metroplitana Oeste,1635,136.25,12136.5,1011.375,11699,11.699,0.1347175874428377,13.471758744283772
